Cenário: Taxa Anual = 6.00%, Taxa Mensal = 0.487%
Depósito Extra Necessário: R$ 9,842.49
Total Depósito Mensal (Aluguel + Extra): R$ 10,842.49
Capital Final (aprox.): R$ 739,591.70
Capital Necessário para gerar R$ 3.600/mês: R$ 739,591.70
----------------------------------------------------------------------
Mês |   Saldo Inicial |      Juros |   Depósito |     Saldo Final
 31 | R$     322,320.50 | R$  2,323.07 | R$  5,944.20 | R$     330,587.77
 32 | R$     330,587.77 | R$  2,382.65 | R$  5,944.20 | R$     338,914.62
 33 | R$     338,914.62 | R$  2,442.67 | R$  5,944.20 | R$     347,301.49
 34 | R$     347,301.49 | R$  2,503.11 | R$  5,944.20 | R$     355,748.81
 35 | R$     355,748.81 | R$  2,564.00 | R$  5,944.20 | R$     364,257.01
 36 | R$     364,257.01 | R$  2,625.32 | R$  5,944.20 | R$     372,826.53
 37 | R$     372,826.53 | R$  2,687.08 | R$  5,944.20 | R$     381,457.81
 38 | R$     381,457.81 | R$  2,749.29 | R$  5,944.20 | R$     390,151.31
 39 | R$     390,151.31 | R$  2,811.95 | R$  5,944.20 | R$     398,907.45
 40 | R$     398,907.45 | R$  2,875.05 | R$  5,944.20 | R$     407,726.71
 41 | R$     407,726.71 | R$  2,938.62 | R$  5,944.20 | R$     416,609.53
 42 | R$     416,609.53 | R$  3,002.64 | R$  5,944.20 | R$     425,556.37
 43 | R$     425,556.37 | R$  3,067.12 | R$  5,944.20 | R$     434,567.70
 44 | R$     434,567.70 | R$  3,132.07 | R$  5,944.20 | R$     443,643.97
 45 | R$     443,643.97 | R$  3,197.49 | R$  5,944.20 | R$     452,785.66
 46 | R$     452,785.66 | R$  3,263.37 | R$  5,944.20 | R$     461,993.23
 47 | R$     461,993.23 | R$  3,329.73 | R$  5,944.20 | R$     471,267.17
 48 | R$     471,267.17 | R$  3,396.57 | R$  5,944.20 | R$     480,607.95
 49 | R$     480,607.95 | R$  3,463.90 | R$  5,944.20 | R$     490,016.05
 50 | R$     490,016.05 | R$  3,531.70 | R$  5,944.20 | R$     499,491.95
======================================================================

Cenário: Taxa Anual = 12.00%, Taxa Mensal = 0.949%
Depósito Extra Necessário: R$ 2,443.87
Total Depósito Mensal (Aluguel + Extra): R$ 3,443.87
Capital Final (aprox.): R$ 379,394.94
Capital Necessário para gerar R$ 3.600/mês: R$ 379,394.94
----------------------------------------------------------------------
Mês |   Saldo Inicial |      Juros |   Depósito |     Saldo Final
  1 | R$     100,000.00 | R$    948.88 | R$  3,443.87 | R$     104,392.74
  2 | R$     104,392.74 | R$    990.56 | R$  3,443.87 | R$     108,827.17
  3 | R$     108,827.17 | R$  1,032.64 | R$  3,443.87 | R$     113,303.67
  4 | R$     113,303.67 | R$  1,075.12 | R$  3,443.87 | R$     117,822.65
  5 | R$     117,822.65 | R$  1,117.99 | R$  3,443.87 | R$     122,384.51
  6 | R$     122,384.51 | R$  1,161.28 | R$  3,443.87 | R$     126,989.66
  7 | R$     126,989.66 | R$  1,204.98 | R$  3,443.87 | R$     131,638.50
  8 | R$     131,638.50 | R$  1,249.09 | R$  3,443.87 | R$     136,331.46
  9 | R$     136,331.46 | R$  1,293.62 | R$  3,443.87 | R$     141,068.95
 10 | R$     141,068.95 | R$  1,338.57 | R$  3,443.87 | R$     145,851.39
 11 | R$     145,851.39 | R$  1,383.95 | R$  3,443.87 | R$     150,679.20
 12 | R$     150,679.20 | R$  1,429.76 | R$  3,443.87 | R$     155,552.83
 13 | R$     155,552.83 | R$  1,476.01 | R$  3,443.87 | R$     160,472.71
 14 | R$     160,472.71 | R$  1,522.69 | R$  3,443.87 | R$     165,439.26
 15 | R$     165,439.26 | R$  1,569.82 | R$  3,443.87 | R$     170,452.95
 16 | R$     170,452.95 | R$  1,617.39 | R$  3,443.87 | R$     175,514.21
 17 | R$     175,514.21 | R$  1,665.42 | R$  3,443.87 | R$     180,623.49
 18 | R$     180,623.49 | R$  1,713.90 | R$  3,443.87 | R$     185,781.25
 19 | R$     185,781.25 | R$  1,762.84 | R$  3,443.87 | R$     190,987.96
 20 | R$     190,987.96 | R$  1,812.25 | R$  3,443.87 | R$     196,244.07
 21 | R$     196,244.07 | R$  1,862.12 | R$  3,443.87 | R$     201,550.05
 22 | R$     201,550.05 | R$  1,912.47 | R$  3,443.87 | R$     206,906.39
 23 | R$     206,906.39 | R$  1,963.29 | R$  3,443.87 | R$     212,313.54
 24 | R$     212,313.54 | R$  2,014.60 | R$  3,443.87 | R$     217,772.01
 25 | R$     217,772.01 | R$  2,066.39 | R$  3,443.87 | R$     223,282.27
 26 | R$     223,282.27 | R$  2,118.68 | R$  3,443.87 | R$     228,844.81
 27 | R$     228,844.81 | R$  2,171.46 | R$  3,443.87 | R$     234,460.14
 28 | R$     234,460.14 | R$  2,224.74 | R$  3,443.87 | R$     240,128.75
 29 | R$     240,128.75 | R$  2,278.53 | R$  3,443.87 | R$     245,851.14
 30 | R$     245,851.14 | R$  2,332.83 | R$  3,443.87 | R$     251,627.84
 31 | R$     251,627.84 | R$  2,387.64 | R$  3,443.87 | R$     257,459.35
 32 | R$     257,459.35 | R$  2,442.98 | R$  3,443.87 | R$     263,346.19
 33 | R$     263,346.19 | R$  2,498.84 | R$  3,443.87 | R$     269,288.89
 34 | R$     269,288.89 | R$  2,555.23 | R$  3,443.87 | R$     275,287.99
 35 | R$     275,287.99 | R$  2,612.15 | R$  3,443.87 | R$     281,344.00
 36 | R$     281,344.00 | R$  2,669.61 | R$  3,443.87 | R$     287,457.48
 37 | R$     287,457.48 | R$  2,727.62 | R$  3,443.87 | R$     293,628.97
 38 | R$     293,628.97 | R$  2,786.18 | R$  3,443.87 | R$     299,859.02
 39 | R$     299,859.02 | R$  2,845.30 | R$  3,443.87 | R$     306,148.19
 40 | R$     306,148.19 | R$  2,904.98 | R$  3,443.87 | R$     312,497.03
 41 | R$     312,497.03 | R$  2,965.22 | R$  3,443.87 | R$     318,906.11
 42 | R$     318,906.11 | R$  3,026.03 | R$  3,443.87 | R$     325,376.01
 43 | R$     325,376.01 | R$  3,087.43 | R$  3,443.87 | R$     331,907.30
 44 | R$     331,907.30 | R$  3,149.40 | R$  3,443.87 | R$     338,500.57
 45 | R$     338,500.57 | R$  3,211.96 | R$  3,443.87 | R$     345,156.39
 46 | R$     345,156.39 | R$  3,275.12 | R$  3,443.87 | R$     351,875.38
 47 | R$     351,875.38 | R$  3,338.87 | R$  3,443.87 | R$     358,658.12
 48 | R$     358,658.12 | R$  3,403.23 | R$  3,443.87 | R$     365,505.21
 49 | R$     365,505.21 | R$  3,468.20 | R$  3,443.87 | R$     372,417.28
 50 | R$     372,417.28 | R$  3,533.79 | R$  3,443.87 | R$     379,394.94
======================================================================

Cenário: Taxa Anual = 14.25%, Taxa Mensal = 1.116%
Depósito Extra Necessário: R$ 1,230.55
Total Depósito Mensal (Aluguel + Extra): R$ 2,230.55
Capital Final (aprox.): R$ 322,481.78
Capital Necessário para gerar R$ 3.600/mês: R$ 322,481.78
----------------------------------------------------------------------
Mês |   Saldo Inicial |      Juros |   Depósito |     Saldo Final
  1 | R$     100,000.00 | R$  1,116.34 | R$  2,230.55 | R$     103,346.90
  2 | R$     103,346.90 | R$  1,153.70 | R$  2,230.55 | R$     106,731.16
  3 | R$     106,731.16 | R$  1,191.48 | R$  2,230.55 | R$     110,153.20
  4 | R$     110,153.20 | R$  1,229.69 | R$  2,230.55 | R$     113,613.44
  5 | R$     113,613.44 | R$  1,268.31 | R$  2,230.55 | R$     117,112.31
  6 | R$     117,112.31 | R$  1,307.37 | R$  2,230.55 | R$     120,650.24
  7 | R$     120,650.24 | R$  1,346.87 | R$  2,230.55 | R$     124,227.66
  8 | R$     124,227.66 | R$  1,386.81 | R$  2,230.55 | R$     127,845.02
  9 | R$     127,845.02 | R$  1,427.19 | R$  2,230.55 | R$     131,502.76
 10 | R$     131,502.76 | R$  1,468.02 | R$  2,230.55 | R$     135,201.34
 11 | R$     135,201.34 | R$  1,509.31 | R$  2,230.55 | R$     138,941.20
 12 | R$     138,941.20 | R$  1,551.06 | R$  2,230.55 | R$     142,722.82
 13 | R$     142,722.82 | R$  1,593.27 | R$  2,230.55 | R$     146,546.65
 14 | R$     146,546.65 | R$  1,635.96 | R$  2,230.55 | R$     150,413.17
 15 | R$     150,413.17 | R$  1,679.13 | R$  2,230.55 | R$     154,322.85
 16 | R$     154,322.85 | R$  1,722.77 | R$  2,230.55 | R$     158,276.17
 17 | R$     158,276.17 | R$  1,766.90 | R$  2,230.55 | R$     162,273.63
 18 | R$     162,273.63 | R$  1,811.53 | R$  2,230.55 | R$     166,315.71
 19 | R$     166,315.71 | R$  1,856.65 | R$  2,230.55 | R$     170,402.92
 20 | R$     170,402.92 | R$  1,902.28 | R$  2,230.55 | R$     174,535.76
 21 | R$     174,535.76 | R$  1,948.42 | R$  2,230.55 | R$     178,714.73
 22 | R$     178,714.73 | R$  1,995.07 | R$  2,230.55 | R$     182,940.35
 23 | R$     182,940.35 | R$  2,042.24 | R$  2,230.55 | R$     187,213.14
 24 | R$     187,213.14 | R$  2,089.94 | R$  2,230.55 | R$     191,533.64
 25 | R$     191,533.64 | R$  2,138.17 | R$  2,230.55 | R$     195,902.36
 26 | R$     195,902.36 | R$  2,186.94 | R$  2,230.55 | R$     200,319.86
 27 | R$     200,319.86 | R$  2,236.26 | R$  2,230.55 | R$     204,786.67
 28 | R$     204,786.67 | R$  2,286.12 | R$  2,230.55 | R$     209,303.34
 29 | R$     209,303.34 | R$  2,336.54 | R$  2,230.55 | R$     213,870.44
 30 | R$     213,870.44 | R$  2,387.53 | R$  2,230.55 | R$     218,488.52
 31 | R$     218,488.52 | R$  2,439.08 | R$  2,230.55 | R$     223,158.16
 32 | R$     223,158.16 | R$  2,491.21 | R$  2,230.55 | R$     227,879.92
 33 | R$     227,879.92 | R$  2,543.92 | R$  2,230.55 | R$     232,654.39
 34 | R$     232,654.39 | R$  2,597.22 | R$  2,230.55 | R$     237,482.17
 35 | R$     237,482.17 | R$  2,651.11 | R$  2,230.55 | R$     242,363.84
 36 | R$     242,363.84 | R$  2,705.61 | R$  2,230.55 | R$     247,300.00
 37 | R$     247,300.00 | R$  2,760.71 | R$  2,230.55 | R$     252,291.27
 38 | R$     252,291.27 | R$  2,816.43 | R$  2,230.55 | R$     257,338.26
 39 | R$     257,338.26 | R$  2,872.78 | R$  2,230.55 | R$     262,441.59
 40 | R$     262,441.59 | R$  2,929.75 | R$  2,230.55 | R$     267,601.89
 41 | R$     267,601.89 | R$  2,987.35 | R$  2,230.55 | R$     272,819.80
 42 | R$     272,819.80 | R$  3,045.60 | R$  2,230.55 | R$     278,095.95
 43 | R$     278,095.95 | R$  3,104.50 | R$  2,230.55 | R$     283,431.01
 44 | R$     283,431.01 | R$  3,164.06 | R$  2,230.55 | R$     288,825.63
 45 | R$     288,825.63 | R$  3,224.28 | R$  2,230.55 | R$     294,280.46
 46 | R$     294,280.46 | R$  3,285.18 | R$  2,230.55 | R$     299,796.20
 47 | R$     299,796.20 | R$  3,346.75 | R$  2,230.55 | R$     305,373.50
 48 | R$     305,373.50 | R$  3,409.01 | R$  2,230.55 | R$     311,013.07
 49 | R$     311,013.07 | R$  3,471.97 | R$  2,230.55 | R$     316,715.59
 50 | R$     316,715.59 | R$  3,535.63 | R$  2,230.55 | R$     322,481.78
======================================================================

